> SELECT n.name agency, c.name camera FROM network n INNER JOIN camera c ON n.network_id = c.network_id ORDER BY n.name, c.name LIMIT 2000;
+----------------------------------+---------------------------------------------------------------------------------------------------------+
| agency                           | camera                                                                                                  |
|----------------------------------+---------------------------------------------------------------------------------------------------------|
| Anderson City CA PD              | #01 - WB Pleasant Hills at Highway 273                                                                  |
| Anderson City CA PD              | #02 - Speed Trailer (SB Arby Way)                                                                       |
| Anderson City CA PD              | 04: North St. SB @ Shasta Dr                                                                            |
| Anderson City CA PD              | 05: Olinda Rd EB @ W Anderson                                                                           |
| Anderson City CA PD              | 06: Rupert Rd EB @ Stingy                                                                               |
| Anderson City CA PD              | 07: Dodson EB @ Balls Ferry                                                                             |
| Anderson City CA PD              | 08: SB McMurry Drive at Ganyon Drive - Original                                                         |
| Atherton CA PD                   | #41 Almendral Avenue at El Camino Real (WB)                                                             |
| Atherton CA PD                   | #46 Alameda De Las Pulgas at Stockbridge Avenue (SB)                                                    |
| Atherton CA PD                   | 01 Holbrook Palmer Park Entrance                                                                        |
| Atherton CA PD                   | 02 - Holbrook Palmer Park Exit                                                                          |
| Atherton CA PD                   | 03 N/B Middlefield @ Ravenswood                                                                         |
| Atherton CA PD                   | 04 E/B Watkins @ El Camino                                                                              |
| Atherton CA PD                   | 05 W/B Fair Oaks @ Middlefield                                                                          |
| Atherton CA PD                   | 06 S/B Middlefield @ Jennings                                                                           |
| Atherton CA PD                   | 07 N/B Alameda @ Walsh                                                                                  |
| Atherton CA PD                   | 08 N/B Fredrick @ Ringwood                                                                              |
| Atherton CA PD                   | 09 W/B Selby @ Oakwood                                                                                  |
| Atherton CA PD                   | 10 W/B Alejandra @ El Camino                                                                            |
| Atherton CA PD                   | 11 W/B Valparaiso @ El Camino                                                                           |
| Atherton CA PD                   | 12 N/B Camino Por Los Arboles @ Valparaiso                                                              |
| Atherton CA PD                   | 13 E/B Atherton @ Alameda                                                                               |
| Atherton CA PD                   | 14 W/B Atherton @ El Camino                                                                             |
| Atherton CA PD                   | 15 W/B Selby @ El Camino                                                                                |
| Atherton CA PD                   | 16 E/B W Selby @ Selby                                                                                  |
| Atherton CA PD                   | 17 E/B Camino Al Lago @ Alameda                                                                         |
