ol.name,standardized_agency_name,ol.datasource
Anderson City CA PD,Anderson City PD,FLOCK
ATHERTON,Atherton PD,BOSS4
ATHERTON POLICE DEPARTMENT,Atherton PD,BOSS4
Atherton,Atherton PD,BOSS4
Atherton CA PD,Atherton PD,FLOCK
Atherton PD,Atherton PD,BOSS4
Atherton PD,Atherton PD,FLOCK
BART,Bay Area Rapid Transit,BOSS4
BAY AREA RAPID TRANSIT,Bay Area Rapid Transit,BOSS4
Bay Area Rapid Transit,Bay Area Rapid Transit,BOSS4
BENICIA,Benicia PD,BOSS4
BENICIA POLICE DEPARTMENT,Benicia PD,BOSS4
Benicia,Benicia PD,BOSS4
Benicia CA PD,Benicia PD,FLOCK
Benicia PD,Benicia PD,BOSS4
BRISBANE,Brisbane PD,BOSS4
BRISBANE POLICE DEPARTMENT,Brisbane PD,BOSS4
Brisbane,Brisbane PD,BOSS4
Brisbane PD,Brisbane PD,BOSS4
CA HIGHWAY PATROL,CHP,BOSS4
CA Highway Patrol,CHP,BOSS4
CHP,CHP,BOSS4
CAMPBELL,Campbell PD,BOSS4
CAMPBELL POLICE DEPARTMENT,Campbell PD,BOSS4
Campbell,Campbell PD,BOSS4
Campbell PD,Campbell PD,BOSS4
CENTRAL MARIN,Central Marin Police Authority,BOSS4
CENTRAL MARIN POLICE AUTHORITY,Central Marin Police Authority,BOSS4
Central Marin,Central Marin Police Authority,BOSS4
Central Marin Police Authority,Central Marin Police Authority,BOSS4
CHICO,Chico PD,BOSS4
CHICO POLICE DEPARTMENT,Chico PD,BOSS4
Chico,Chico PD,BOSS4
Chico PD,Chico PD,BOSS4
DALY CITY,Daly City PD,BOSS4
DALY CITY POLICE DEPARTMENT,Daly City PD,BOSS4
Daly City,Daly City PD,BOSS4
Daly City PD,Daly City PD,BOSS4
DANVILLE,Danville PD,BOSS4
DANVILLE POLICE DEPARTMENT,Danville PD,BOSS4
Danville,Danville PD,BOSS4
Danville CA PD,Danville PD,FLOCK
Danville PD,Danville PD,BOSS4
DIXON,Dixon PD,BOSS4
DIXON POLICE DEPARTMENT,Dixon PD,BOSS4
Dixon,Dixon PD,BOSS4
Dixon CA PD,Dixon PD,FLOCK
Dixon PD,Dixon PD,BOSS4
Fairfield CA PD,Fairfield PD,FLOCK
City of Fremont,Fremont PD,FLOCK
FREMONT,Fremont PD,BOSS4
FREMONT POLICE DEPARTMENT,Fremont PD,BOSS4
Fremont,Fremont PD,BOSS4
Fremont PD,Fremont PD,BOSS4
GGB VISTA POINT,GGB Vista Point,BOSS4
GGB VISTA POINT,GGB Vista Point,FLOCK
GGB Vista Point,GGB Vista Point,BOSS4
GGB Vista Point,GGB Vista Point,FLOCK
HIDTA,HIDTA,BOSS4
LIVERMORE,Livermore PD,BOSS4
LIVERMORE POLICE DEPARTMENT,Livermore PD,BOSS4
Livermore,Livermore PD,BOSS4
Livermore CA PD,Livermore PD,FLOCK
Livermore PD,Livermore PD,BOSS4
LOS ALTOS,Los Altos PD,BOSS4
LOS ALTOS POLICE DEPARTMENT,Los Altos PD,BOSS4
Los Altos,Los Altos PD,BOSS4
Los Altos PD,Los Altos PD,BOSS4
MANUAL ENTRIES,Manual Entries,BOSS4
Manual Entries,Manual Entries,BOSS4
MENLO PARK,Menlo Park PD,BOSS4
MENLO PARK POLICE DEPARTMENT,Menlo Park PD,BOSS4
Menlo Park,Menlo Park PD,BOSS4
Menlo Park PD,Menlo Park PD,BOSS4
Millbrae CA PD,Millbrae PD,FLOCK
MORGAN HILL,Morgan Hill PD,BOSS4
MORGAN HILL POLICE DEPARTMENT,Morgan Hill PD,BOSS4
Morgan Hill,Morgan Hill PD,BOSS4
Morgan Hill CA PD,Morgan Hill PD,FLOCK
Morgan Hill PD,Morgan Hill PD,BOSS4
NCRIC,NCRIC,BOSS4
NAPA,Napa PD,BOSS4
NAPA POLICE DEPARTMENT,Napa PD,BOSS4
Napa,Napa PD,BOSS4
Napa CA PD,Napa PD,FLOCK
Napa PD,Napa PD,BOSS4
Napa PD,Napa PD,FLOCK
NEWARK,Newark PD,BOSS4
NEWARK POLICE DEPARTMENT,Newark PD,BOSS4
Newark,Newark PD,BOSS4
Newark PD,Newark PD,BOSS4
PALO ALTO,Palo Alto PD,BOSS4
PALO ALTO POLICE DEPARTMENT,Palo Alto PD,BOSS4
Palo Alto,Palo Alto PD,BOSS4
Palo Alto PD,Palo Alto PD,BOSS4
PIEDMONT,Piedmont PD,BOSS4
PIEDMONT POLICE DEPARTMENT,Piedmont PD,BOSS4
Piedmont,Piedmont PD,BOSS4
Piedmont CA PD,Piedmont PD,FLOCK
Piedmont PD,Piedmont PD,BOSS4
RIO VISTA,Rio Vista PD,BOSS4
RIO VISTA POLICE DEPARTMENT,Rio Vista PD,BOSS4
Rio Vista,Rio Vista PD,BOSS4
Rio Vista PD,Rio Vista PD,BOSS4
Salinas CA PD,Salinas PD,FLOCK
SAN FRANCISCO,San Francisco PD,BOSS4
SAN FRANCISCO POLICE DEPARTMENT,San Francisco PD,BOSS4
San Francisco,San Francisco PD,BOSS4
San Francisco PD,San Francisco PD,BOSS4
SAN LEANDRO,San Leandro PD,BOSS4
SAN LEANDRO POLICE DEPARTMENT,San Leandro PD,BOSS4
San Leandro,San Leandro PD,BOSS4
San Leandro PD,San Leandro PD,BOSS4
SAN MATEO,San Mateo PD,BOSS4
SAN MATEO,San Mateo PD,FLOCK
SAN MATEO POLICE DEPARTMENT,San Mateo PD,BOSS4
SAN MATEO POLICE DEPARTMENT,San Mateo PD,FLOCK
San Mateo,San Mateo PD,BOSS4
San Mateo,San Mateo PD,FLOCK
San Mateo PD,San Mateo PD,BOSS4
San Mateo PD,San Mateo PD,FLOCK
SAN MATEO VTTF,San Mateo VTTF,BOSS4
San Mateo VTTF,San Mateo VTTF,BOSS4
SANTA CLARA COUNTY SHERIFF'S OFFICE,Santa Clara County Sheriff's Office,BOSS4
SANTA CLARA COUNTY SHERIFFS OFFICE,Santa Clara County Sheriff's Office,BOSS4
Santa Clara County Sheriff's Office,Santa Clara County Sheriff's Office,BOSS4
Santa Clara County Sheriffs Office,Santa Clara County Sheriff's Office,BOSS4
SANTA CLARA,Santa Clara PD,BOSS4
SANTA CLARA POLICE DEPARTMENT,Santa Clara PD,BOSS4
Santa Clara,Santa Clara PD,BOSS4
Santa Clara CA PD,Santa Clara PD,FLOCK
Santa Clara PD,Santa Clara PD,BOSS4
SOLANO COUNTY,Solano County Sheriffs Office,BOSS4
SOLANO COUNTY SHERIFFS OFFICE,Solano County Sheriffs Office,BOSS4
Solano County,Solano County Sheriffs Office,BOSS4
Solano County Sheriffs Office,Solano County Sheriffs Office,BOSS4
SOUTH SAN FRANCISCO,South San Francisco PD,BOSS4
SOUTH SAN FRANCISCO POLICE DEPARTMENT,South San Francisco PD,BOSS4
South San Francisco,South San Francisco PD,BOSS4
South San Francisco PD,South San Francisco PD,BOSS4
SUISUN,Suisun PD,BOSS4
SUISUN POLICE DEPARTMENT,Suisun PD,BOSS4
Suisun,Suisun PD,BOSS4
Suisun PD,Suisun PD,BOSS4
SUNNYVALE DPS,Sunnyvale DPS,BOSS4
Sunnyvale DPS,Sunnyvale DPS,BOSS4
SUNNYVALE,Sunnyvale PD,BOSS4
SUNNYVALE POLICE DEPARTMENT,Sunnyvale PD,BOSS4
Sunnyvale,Sunnyvale PD,BOSS4
Sunnyvale PD,Sunnyvale PD,BOSS4
VACAVILLE,Vacaville PD,BOSS4
VACAVILLE POLICE DEPARTMENT,Vacaville PD,BOSS4
Vacaville,Vacaville PD,BOSS4
Vacaville PD,Vacaville PD,BOSS4
VALLEJO,Vallejo PD,BOSS4
VALLEJO POLICE DEPARTMENT,Vallejo PD,BOSS4
Vallejo,Vallejo PD,BOSS4
Vallejo CA PD,Vallejo PD,FLOCK
Vallejo PD,Vallejo PD,BOSS4
Vallejo PD,Vallejo PD,FLOCK
YOSEMITE,Yosemite National Park,BOSS4
YOSEMITE NATIONAL PARK,Yosemite National Park,BOSS4
Yosemite,Yosemite National Park,BOSS4
Yosemite National Park,Yosemite National Park,BOSS4
